Arctic						北极
inquiry					询问，调查
insecure						缺乏信心的，无保障的
insider							圈内人
insight				洞悉，洞察力
insist						坚决要求，坚持认为
inspector						检查员
inspiration					灵感，妙计
inspire						鼓舞
inspire					鼓舞，使产生，激起
install						安装，安置
installation				安装，就职，装备，设施
installment					一期付款，一集
instance						情况，例子
instant						即刻的
instant		即刻的
instinctively				本能的
institute							机构，开始实行
institution				习俗，福利机构，金融机构，知名人士
instruct							教导，吩咐
instruction						教导，命令，说明
instructor								教师，教练
instrument						器械，乐器，仪表
insult						辱骂，侮辱
intake							摄取量，入口，新生
integrity						正直，完整
intelligence					智力，情报
intelligent						有才智的
intelligent					有才智的
intend						想要，计划，意指
intense					强烈的，紧张的
intense				强烈的，紧张的
intensity					强烈
intention				意图
interconnect					相互连接
interdependence				相互依赖
internal			里面的
interpret					解释，理解，做口译
interpretation						理解，说明，口译
interracial						种族间的
interruption					插嘴，阻断
intervention						干涉
interview					面试，面谈
interview				面试，面谈
intoxication			醉酒，陶醉
invade						侵略，侵扰
invalid						残疾人，退役，无效的
invariably						一贯的
invest						投资，使...就职，赋予
investigate					调查，审查
investigate			调查，审查
investigation			侦查，调查研究
investment	投资
involve						需要，影响，使参与，吸引
involve				需要，影响，使参与，吸引
irrationally					不合逻辑的
irregular					不规则的，不合常规的
irritate						使恼怒，刺激
isle							岛
issue						问题，期，发放，子女
item							一件物品，项目
jealous					嫉妒的，小心守护的
joint						关节，接合处，共同的
jolt						使...震动，震动，震惊
joyful				快乐的
judgement						判断力，看法，判决，报应
just					恰好，刚才，只是，公正的
justice					公正，司法，法官
justify							是...的正当理由
keenly						渴望的，敏锐的，激烈的
keep up with			跟上
knock-on effect				连锁反应
laborious							艰巨的，生硬的
lace					花边，鞋带，系上，掺
lace up				系上
laid					安放
land mass						陆块
landmark				地标，里程碑
landscape	形势
lap							大腿，一圈，轻拍
lap				大腿，一圈，轻拍
lap up				欣然接受
largely					主要的
launch							大型汽艇，下水，发射，实施
laundry							洗衣店，衣物
lawsuit				诉讼
lay off					解雇，停止
legal							法律的，法定的
legend						传说，铭文
leisure					空闲
leisure				空闲
lengthen			加长
lengthy							长时间的
lengthy						长时间的
lessen				减轻，降低
liability					不利条件，负债，责任
liberation							解放，解脱
lifelong			终生的
likelihood				可能性
line of defense	防线
linger				逗留，留存
literature					文学，宣传册
livable					可居住的
livelihood				生计
loan							借款，借用
loan				借款，借用
lobby						大堂，游说
locate						把...设置在
lodge							门房，正式提出，寄宿，存放
logic					逻辑学，理由
logically						合乎逻辑的
long							长的，长时间的，很早以前，整个的，渴望
long-running			长期的
longevity			寿命
look to					指望，注意
loot					桩物，抢劫
loss							损失，亏损
lottery				碰运气的事
loyalty				忠诚
lubricant		润滑剂
lunch							午餐
lush						茂盛的，豪华的
made great strides		取得巨大进展
magnificent				壮丽的，极好的
mainstay	支柱，主要部分
mainstream					主流，主流的
maintain						维持，供养，坚称，保养
maintain			维持，供养，坚称，保养
major						重要的，严重的，主修
majority						大多数
majority		大多数
make appointment	预约
make up				组成，补偿
make-up						化妆品，性格，组成
malfunction						发生故障，故障
mammal						哺乳动物
manatee						海牛
manner					方式，举止态度，风格，种类
manufacture					大量生产，生成，编造，工业品
march							齐步走，使行进，进展
margin						页边空白，边缘，幅度，极限
marginalize					使...边缘化
maritime					海运的，海洋的
marsh					沼泽
marvelous					令人惊奇的，极好的
masculine					男性的，阳性，像男人的
mask							面罩，伪装，掩盖
massive						大的，严重的
massive				大的，严重的
match				比赛，和...匹配
mate						配偶，伙伴，交配
matter							事情，问题，物质，要紧
matter					事情，问题，物质，要紧
mature						成熟的，明智的
maximum						最大的，最大限度
meaner					更卑鄙
means					方法，财富
meant						意味着，打算，注定
measure						计量制，标准量，措施，评价，测量
mechanic					技工
mechanism						机械装置，机制，途径
melt							融化，变软，融合
melt						融化，变软，融合
memorandum			备忘录
memorize					记住
menace					威胁，恐吓
mental				智力的，内心的，精神健康的
menu							菜单
merchant				商人，商人的
mere					仅仅的，最少的
merely					仅仅，只是
merit							价值，荣誉，长处，值得
mighty				强大的
migrate				移居，迁徙
migration						移居，迁徙，转移
milestones				里程碑，转折点
military					军事的
military			军事的
mill							磨坊，繁琐程序，磨，制造
mineral						矿物，无机物
minimum				最低限度
minister			部长
ministry						政府的部
minor								较小的，未成年人
minor							较小的，未成年人
minority		少数
miraculously	奇迹般的
miscalculation						误算
mischievous				淘气的，恶意的
miserable						痛苦的，不幸的
misguide						受误导的
misguided				受误导的
mislead					误导
mission						任务，代表团，使命
misty						有雾的，模糊的
misunderstand					误解
mitigate				缓和，减轻
monitor						显示器，班长，观察，监测
monitoring					监视，监测
monopolistic			垄断的
monopoly	垄断
monument						纪念馆，典范，遗迹
mood							心情，坏心情，气氛
moral					道德的，寓意，道德
moral values					道德观
morally bankrupt					道德沦丧
mortal					致命的，极大的，凡人
mortality		死亡
moss					苔藓
mostly						主要的
motivate						促动
motivation						动机，积极性
multiplication			乘法，成倍增长
multiply			乘，繁殖，多样的
muscle					肌肉，体力，权力，用力塞
mutual						相互的，共同的
mutual consent					双方同意
mutually						互相，对于双方
mystery							神秘
myth								神话故事，错误观念
myth					神话故事，错误观念
mythology					神话，虚幻想法
nail		钉子
naked						裸露的
namely						即
narrow						狭窄的，有限的，微小的，变窄，缩小
